,Age,Role,Gender,Level,Awareness of use,Frequency if use (How often ),Affected learning,Effectiveness in understanding,Do you believe,Rate quality,Benefits,Challenges,How supportive,Familiar,Rate,BenefitS perceive,Concerns,Recommendations,Comments or Suggestions
84,46-55,Student,Female,PHD,Yes,Weekly,Somewhat improved,2.0,Agree,4.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,2.0,2.0,Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,,
85,26-35,Student,Male,Degree,Yes,Weekly,Significantly improved,2.0,Agree,2.0,Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,,
86,18-25,Student,Female,PHD,No,Rarely,Somewhat worsened,4.0,Disagree,4.0,Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Unsupportive,4.0,4.0,Facilitates student engagement,Dependence on technology,,
87,46-55,Student,Male,Masters,Yes,Never,Significantly worsened,,,,,,,,,,,,
88,26-35,Educator,Female,Degree,Yes,Weekly,Somewhat improved,,,,,,,,,,,,
89,36-45,Student,Male,PHD,Yes,Rarely,No change,2.0,Disagree,3.0,Personalized learning experience,Privacy concerns,Unsupportive,5.0,5.0,Provides innovative teaching tools,Job displacement for educators,,
90,26-35,Student,Male,Degree,Yes,Never,Somewhat improved,3.0,Disagree,3.0,Accessibility to diverse resources,,Neutral,4.0,4.0,Provides innovative teaching tools,Dependence on technology,,
91,18-25,Student,Female,Degree,No,Rarely,Significantly worsened,5.0,Strongly disagree,5.0,,,Strongly unsupportive,5.0,5.0,,,,
92,36-45,Student,Female,Diploma,No,Never,Significantly worsened,5.0,Strongly disagree,5.0,Accessibility to diverse resources,Privacy concerns,Strongly unsupportive,5.0,5.0,Facilitates student engagement,,,
93,26-35,Educator,Female,Degree,Yes,Monthly,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects,Technical issues;Reliability of information;Privacy concerns,Strongly supportive,2.0,2.0,Enhances personalized learning,Privacy issues;Job displacement for educators,,
94,18-25,Student,Male,Degree,Yes,Weekly,Significantly improved,1.0,Neutral,2.0,Improved understanding of subjects,Privacy concerns,Supportive,2.0,2.0,Enhances personalized learning;Provides innovative teaching tools,Privacy issues;Job displacement for educators,,
95,36-45,Student,Female,PHD,Yes,Weekly,Significantly improved,1.0,Agree,2.0,,,,,,,,,
96,26-35,Student,Male,PHD,No,Never,Significantly worsened,5.0,Strongly disagree,5.0,Accessibility to diverse resources,Privacy concerns,Strongly unsupportive,5.0,5.0,,,,
97,46-55,Student,Male,Masters,Yes,Monthly,Somewhat improved,2.0,Agree,2.0,Improved understanding of subjects;Accessibility to diverse resources,Technical issues;Privacy concerns,Supportive,2.0,2.0,Provides innovative teaching tools,Privacy issues,,
98,36-45,Educator,Female,Degree,Yes,Monthly,Somewhat improved,2.0,Neutral,3.0,Improved understanding of subjects,Privacy concerns,Supportive,2.0,3.0,Enhances personalized learning,Privacy issues,,
99,46-55,Educator,Male,PHD,Yes,Daily,Somewhat improved,2.0,Agree,1.0,Improved understanding of subjects,Technical issues;Reliability of information;Privacy concerns,Strongly supportive,2.0,2.0,Enhances personalized learning,Privacy issues,,
100,56 and above,Educator,Male,Masters,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning,Privacy issues;Academic integrity;Dependence on technology,,
101,18-25,Student,Male,PHD,Yes,Weekly,Significantly improved,2.0,Agree,2.0,Increased engagement in learning,Privacy concerns,Supportive,2.0,2.0,Enhances personalized learning,Privacy issues,,
102,36-45,Student,Male,PHD,Yes,Monthly,Somewhat improved,2.0,Agree,2.0,Improved understanding of subjects;Increased engagement in learning,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Supportive,2.0,2.0,Improves efficiency in administrative tasks,Academic integrity,,
103,26-35,Student,Male,Masters,Yes,Monthly,Significantly improved,2.0,Agree,2.0,Improved understanding of subjects,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns;,Supportive,2.0,2.0,Provides innovative teaching tools,Dependence on technology,,
104,46-55,Educator,Male,Degree,Yes,Never,No change,3.0,Neutral,3.0,Personalized learning experience,Lack of human interaction,Supportive,3.0,4.0,Facilitates student engagement,Academic integrity,,
105,36-45,Educator,Female,Degree,Yes,Weekly,Somewhat improved,2.0,Agree,2.0,Increased engagement in learning,,Supportive,3.0,2.0,Provides innovative teaching tools,Job displacement for educators,,
106,18-25,Student,Male,Masters,Yes,Monthly,Somewhat improved,3.0,Neutral,2.0,Personalized learning experience;Accessibility to diverse resources,Technical issues;Reliability of information,Supportive,2.0,2.0,Facilitates student engagement,Job displacement for educators,,
107,46-55,Student,Male,Degree,Yes,Weekly,Significantly improved,2.0,Agree,2.0,Improved understanding of subjects,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Supportive,2.0,2.0,Provides innovative teaching tools,Job displacement for educators,,
108,36-45,Student,Male,Degree,No,Weekly,No change,2.0,Agree,2.0,Improved understanding of subjects,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Supportive,2.0,2.0,Enhances personalized learning,,,
109,56 and above,Student,Male,Masters,Yes,Weekly,Somewhat improved,3.0,Neutral,3.0,Improved understanding of subjects,Lack of human interaction,Neutral,3.0,3.0,Provides innovative teaching tools,Privacy issues,,
110,26-35,Student,Male,Masters,No,Never,No change,4.0,Disagree,4.0,Increased engagement in learning;Personalized learning experience,Lack of human interaction;Reliability of information,Supportive,3.0,4.0,Enhances personalized learning,Privacy issues,,
111,46-55,Educator,Female,Degree,Yes,Weekly,Somewhat improved,1.0,Strongly agree,2.0,Improved understanding of subjects,Lack of human interaction,Supportive,2.0,2.0,,Academic integrity,,
112,46-55,Educator,Female,Degree,Yes,Daily,Somewhat improved,2.0,Agree,3.0,Personalized learning experience,Lack of human interaction,Supportive,3.0,3.0,Enhances personalized learning,Academic integrity,,
113,18-25,Student,Male,PHD,No,Rarely,No change,3.0,Agree,2.0,Personalized learning experience,Technical issues;Lack of human interaction,Strongly supportive,3.0,2.0,Facilitates student engagement,Privacy issues,,
114,56 and above,Student,Female,Masters,Yes,Monthly,Significantly improved,2.0,Agree,2.0,Increased engagement in learning,Technical issues;Privacy concerns,Supportive,2.0,2.0,Enhances personalized learning;Facilitates student engagement,Privacy issues;Job displacement for educators;Dependence on technology,,
115,26-35,Student,Female,PHD,Yes,Daily,Somewhat improved,2.0,Neutral,2.0,Increased engagement in learning,Lack of human interaction;Reliability of information,Strongly supportive,2.0,2.0,Improves efficiency in administrative tasks,,,
116,56 and above,Student,Male,Degree,No,Weekly,No change,2.0,Neutral,3.0,Increased engagement in learning,Reliability of information;Privacy concerns,Supportive,2.0,2.0,Provides innovative teaching tools;Facilitates student engagement,Academic integrity,Improve information accuracy.,Mindful about their privacy
117,56 and above,Educator,Female,Masters,Yes,Weekly,Somewhat improved,2.0,Agree,1.0,Improved understanding of subjects;Personalized learning experience,Technical issues;Lack of human interaction;Privacy concerns,Strongly supportive,1.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators,It usage should be regulated ,Ethics should be considered 
118,26-35,Student,Male,PHD,Yes,Daily,Significantly improved,1.0,Agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience,Technical issues;Reliability of information;Privacy concerns,Neutral,3.0,2.0,Improves efficiency in administrative tasks;Facilitates student engagement,Privacy issues;Dependence on technology,,
119,18-25,Student,Male,Degree,Yes,Weekly,Significantly improved,3.0,Neutral,3.0,Increased engagement in learning;Accessibility to diverse resources,Lack of human interaction;Privacy concerns,Supportive,3.0,3.0,Enhances personalized learning;Improves efficiency in administrative tasks,Job displacement for educators,,
120,36-45,Student,Female,PHD,Yes,Monthly,Somewhat improved,1.0,Agree,2.0,Increased engagement in learning;Personalized learning experience,Lack of human interaction;Privacy concerns,Supportive,2.0,2.0,Improves efficiency in administrative tasks;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators,,
121,46-55,Educator,Male,Masters,Yes,Daily,Significantly improved,2.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Academic integrity;Dependence on technology,Education on it ethical usage ,
122,56 and above,Educator,Female,Masters,Yes,Daily,Significantly improved,2.0,Agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience,Lack of human interaction,Strongly supportive,3.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Job displacement for educators,,
123,26-35,Educator,Female,Masters,Yes,Daily,Somewhat improved,2.0,Neutral,2.0,Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Privacy concerns,Strongly supportive,2.0,1.0,Enhances personalized learning;Provides innovative teaching tools,Privacy issues;Job displacement for educators,Needs education on it usage ,
124,26-35,Non teaching staff,Male,Professor,Yes,Daily,Somewhat improved,2.0,Agree,2.0,Increased engagement in learning;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,,
125,56 and above,Educator,Female,Masters,Yes,Daily,Somewhat improved,2.0,Strongly agree,2.0,Increased engagement in learning,Technical issues;Lack of human interaction;Reliability of information,Supportive,1.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Job displacement for educators;Dependence on technology,,
126,46-55,Student,Male,PHD,Yes,Weekly,No change,3.0,Neutral,3.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Privacy concerns,Neutral,3.0,3.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Academic integrity;Job displacement for educators,,
127,36-45,Non teaching staff,Male,PHD,Yes,Daily,Somewhat improved,3.0,Neutral,2.0,Improved understanding of subjects;Increased engagement in learning,Lack of human interaction;Reliability of information;Privacy concerns,Neutral,3.0,2.0,Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Job displacement for educators,,
128,56 and above,Educator,Male,Masters,Yes,Rarely,Somewhat improved,2.0,Agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience,Lack of human interaction,Supportive,2.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Job displacement for educators,,Need some regulation on it usage 
129,18-25,Student,Female,Degree,Yes,Rarely,No change,2.0,Agree,3.0,Improved understanding of subjects;Personalized learning experience,Technical issues;Lack of human interaction;Privacy concerns,Supportive,2.0,3.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,,
130,26-35,Student,Male,Masters,Yes,Weekly,Somewhat improved,2.0,Neutral,2.0,Improved understanding of subjects;Personalized learning experience,Technical issues;Privacy concerns;,Strongly supportive,1.0,3.0,Enhances personalized learning;Provides innovative teaching tools,Academic integrity;Dependence on technology,,
131,36-45,Educator,Female,PHD,Yes,Monthly,No change,2.0,Agree,2.0,Increased engagement in learning;Accessibility to diverse resources,Technical issues;Privacy concerns,Unsupportive,3.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Facilitates student engagement,Academic integrity;Dependence on technology,,
132,18-25,Educator,Female,Degree,Yes,Weekly,No change,2.0,Disagree,3.0,Improved understanding of subjects;Personalized learning experience,Lack of human interaction;Reliability of information,Unsupportive,3.0,2.0,Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Dependence on technology,,
133,26-35,Educator,Male,Masters,Yes,Weekly,Significantly improved,2.0,Neutral,3.0,Personalized learning experience,Reliability of information,Supportive,3.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks,Dependence on technology,,
134,36-45,Educator,Male,Masters,Yes,Daily,Significantly improved,3.0,Neutral,3.0,Improved understanding of subjects;Personalized learning experience,Technical issues;Privacy concerns,Strongly supportive,4.0,4.0,Enhances personalized learning;Facilitates student engagement,Academic integrity;Job displacement for educators,,
135,26-35,Educator,Female,PHD,Yes,Weekly,Somewhat improved,3.0,Agree,2.0,Increased engagement in learning;Personalized learning experience,Lack of human interaction;Reliability of information,Neutral,2.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Job displacement for educators;Dependence on technology,,
136,46-55,Educator,Female,Masters,No,Monthly,Somewhat worsened,4.0,Disagree,4.0,Accessibility to diverse resources,Lack of human interaction;Privacy concerns,Neutral,4.0,4.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Job displacement for educators;Dependence on technology,,
137,18-25,Student,Female,Degree,Yes,Monthly,No change,3.0,Neutral,2.0,Increased engagement in learning;Accessibility to diverse resources,Technical issues;Reliability of information,Supportive,2.0,3.0,Enhances personalized learning;Facilitates student engagement,Academic integrity;Dependence on technology,,
138,36-45,Educator,Male,PHD,Yes,Weekly,Somewhat improved,3.0,Agree,2.0,Improved understanding of subjects;Accessibility to diverse resources,Reliability of information;Privacy concerns,Unsupportive,2.0,3.0,Enhances personalized learning;Provides innovative teaching tools,Job displacement for educators,,
139,26-35,Educator,Male,PHD,Yes,Weekly,No change,3.0,Agree,3.0,Improved understanding of subjects;Accessibility to diverse resources,Lack of human interaction;Privacy concerns,Strongly supportive,3.0,4.0,Provides innovative teaching tools,Privacy issues;Dependence on technology,,
140,26-35,Student,Female,PHD,No,Rarely,Significantly improved,3.0,Neutral,2.0,Improved understanding of subjects;Accessibility to diverse resources,Technical issues;Privacy concerns,Neutral,3.0,3.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Job displacement for educators,,
141,18-25,Student,Female,PHD,Yes,Rarely,No change,3.0,Neutral,2.0,Increased engagement in learning;Personalized learning experience,Lack of human interaction;Reliability of information,Neutral,2.0,2.0,Enhances personalized learning;Facilitates student engagement,Academic integrity;Job displacement for educators,,
142,36-45,Student,Male,PHD,Yes,Weekly,Somewhat improved,2.0,Neutral,2.0,Increased engagement in learning;Personalized learning experience,Lack of human interaction;Reliability of information,Neutral,3.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Academic integrity;Dependence on technology,,
143,26-35,Student,Male,PHD,Yes,Weekly,Significantly improved,4.0,Neutral,2.0,Increased engagement in learning;Personalized learning experience,Lack of human interaction;Reliability of information,Supportive,2.0,3.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Job displacement for educators,ethical use,"ethical use
"
144,36-45,Educator,Female,Degree,No,Monthly,Somewhat worsened,2.0,Disagree,2.0,Increased engagement in learning;Personalized learning experience,Lack of human interaction;Reliability of information,Supportive,3.0,2.0,Improves efficiency in administrative tasks;Facilitates student engagement,Academic integrity;Job displacement for educators,,Ethical
145,36-45,Student,Female,Masters,No,Weekly,No change,3.0,Neutral,1.0,Increased engagement in learning;Personalized learning experience,Reliability of information;Privacy concerns,Unsupportive,3.0,3.0,Improves efficiency in administrative tasks;Facilitates student engagement,Academic integrity;Job displacement for educators,,
146,46-55,Educator,Male,Masters,No,Weekly,Somewhat improved,1.0,Neutral,4.0,Increased engagement in learning;Accessibility to diverse resources,Lack of human interaction;Reliability of information,Supportive,4.0,4.0,Enhances personalized learning;Provides innovative teaching tools,Privacy issues;Job displacement for educators,,
147,36-45,Educator,Male,PHD,Yes,Daily,Significantly improved,2.0,Agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Supportive,2.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,Privacy issues,
148,26-35,Educator,Female,Degree,Yes,Weekly,Somewhat improved,3.0,Neutral,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,no,No idea
149,26-35,Educator,Male,Masters,Yes,Daily,Somewhat improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,Ethical use,No idea
150,46-55,Student,Male,Masters,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Reliability of information;Privacy concerns,Supportive,1.0,1.0,Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Nope,Ethical issues 
151,18-25,Educator,Male,Degree,Yes,Daily,Somewhat improved,1.0,Agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Reliability of information;Privacy concerns,Supportive,1.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Naah,No idea
152,46-55,Student,Female,Degree,Yes,Weekly,Significantly improved,1.0,Agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,No idea,Idea 
153,46-55,Student,Female,Degree,Yes,Daily,Somewhat improved,2.0,Agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Supportive,1.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Dependence on technology,,
154,18-25,Student,Male,Degree,Yes,Monthly,Somewhat improved,2.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Supportive,2.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Dependence on technology,Ethicality,
155,36-45,Educator,Female,Degree,Yes,Weekly,Somewhat improved,2.0,Agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Reliability of information;Privacy concerns,Strongly supportive,2.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Dependence on technology,Privacy issues ,
156,36-45,Educator,Female,Masters,Yes,Daily,Significantly improved,1.0,Strongly agree,2.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,2.0,2.0,Provides innovative teaching tools;Facilitates student engagement,Job displacement for educators;Dependence on technology,No idea ,Ethical issues 
157,26-35,Student,Male,Masters,No,Monthly,Somewhat improved,2.0,Neutral,2.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No idea ,Ethical issues 
158,46-55,Educator,Male,Degree,,Monthly,Somewhat improved,3.0,Agree,2.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Supportive,2.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Dependence on technology,No idea ,No 
159,26-35,Educator,Male,Masters,Yes,Daily,Significantly improved,2.0,Agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,2.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Idea ,Idea
160,56 and above,Educator,Female,Masters,No,Weekly,Significantly improved,3.0,Agree,3.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,2.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,Idea ,Idea 
161,26-35,Student,Male,Masters,No,Weekly,Somewhat improved,2.0,Neutral,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,No idea ,Idea 
162,18-25,Educator,Male,Degree,No,Monthly,Somewhat improved,2.0,Agree,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,2.0,3.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,No
163,46-55,Student,Female,PHD,Yes,Daily,Significantly improved,3.0,Neutral,3.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Ideas ,No
164,26-35,Educator,Male,PHD,Yes,Weekly,Significantly improved,2.0,Strongly agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,3.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,No 
165,26-35,Student,Male,Degree,Yes,Weekly,Significantly improved,1.0,Strongly agree,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Strongly supportive,2.0,3.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Ideas ,No 
166,26-35,Educator,Female,Masters,Yes,Monthly,Somewhat improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,No,No 
167,46-55,Educator,Male,Masters,Yes,Monthly,Somewhat improved,1.0,Agree,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,No 
168,36-45,Educator,Female,PHD,Yes,Weekly,Somewhat improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,
169,26-35,Student,Male,Degree,,Daily,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,,
170,46-55,Educator,Male,Masters,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,2.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,
171,26-35,Student,Male,Degree,Yes,Daily,Somewhat improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Reliability of information;Privacy concerns,Supportive,2.0,1.0,Enhances personalized learning;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,
172,18-25,Student,Female,Degree,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,2.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,
173,18-25,Student,Male,PHD,Yes,Weekly,Significantly improved,2.0,Strongly agree,2.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,No 
174,26-35,Student,Female,Degree,Yes,Weekly,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,No 
175,56 and above,Educator,Female,Masters,No,Never,No change,3.0,Neutral,3.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Unsupportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,No ,No idea 
176,26-35,Educator,Female,PHD,Yes,Rarely,No change,3.0,Neutral,1.0,Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,
177,46-55,Educator,Female,Masters,Yes,Monthly,Somewhat improved,2.0,Strongly agree,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information;Privacy concerns,Strongly supportive,2.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Academic integrity;Job displacement for educators;Dependence on technology,,
